;注释
;默认城市
;默认城市id必须设置准确，id获取方法：使用天气添加城市，使用命令“adb logcat | grep setCityInfo”，即可获取该城市id
@default:阿尔及尔,gn2507480,阿尔及利亚,Algiers,aerjier,aeje,Algeria
;国际化语言
@locale:zh_CN,zh_TW

;chineseName,id,chineseCountryName,englishName,chineseSpellName,shortChineseSpellName,englishCountryName
;id默认设为more，也可以设置为准确的id

;海外城市
东京,gn1850144,日本,Tokyo,dongjing,dj,Japan
京都,gn1857910,日本,Kyoto,jingdu,jd,Japan
平壤,gn1871859,朝鲜,Pyongyang,pingrang,pr,North Korea
首尔,69611,韩国,Seoul,shouer,se,South Korea
乌兰巴托,gn2028462,蒙古国,Ulan Bator,wulanbatuo,wlbt,Mongolia
马尼拉,gn1701668,菲律宾,Manila,manila,mnl,Philippines
河内,gn1581130,越南,Hanoi,henei,hn,Vietnam
曼谷,75672,泰国,Bangkok,mangu,mg,Thailand
吉隆坡,gn1733046,马来西亚,Kuala Lumpur,jilongpo,jlp,Malaysia
新加坡,gn1880252,新加坡,Singapore,xinjiapo,xjp,Singapore
斯里巴加湾,gn1820906,文莱,Bandar Seri Begawan,silibajiawan,slbjw,Brunei
雅加达,63793,印度尼西亚,Jakarta,yajiada,yjd,Indonesia
仰光,gn1298824,缅甸,Rangoon,yangguang,yg,Burma
科伦坡,69683,斯里兰卡,Colombo,kelunpo,klp,Sri Lanka
新德里,gn1261481,印度,New Delhi,xindeli,xdl,India
孟买,gn1275339,印度,Mumbai,mengmai,mm,India
卡拉奇,gn1174872,巴基斯坦,Karachi,kalaqi,klq,Pakistan
德黑兰,gn112931,伊朗,Tehran,deheilan,dhl,Iran
大马士革,gn170654,叙利亚,Damascus,damashige,dmsg,Syria
利雅得,gn108410,沙特阿拉伯,Riyadh,liyade,lyd,Saudi Arabia
开罗,gn360630,埃及,Cairo,kailuo,kl,Egypt
突尼斯,gn2464470,突尼斯,Tunis,tunisi,tns,Tunisia
达喀尔,gn2253354,塞内加尔,Dakar,dakaer,dke,Senegal
拉各斯,gn2332453,尼日利亚,Lagos,lagesi,lgs,Nigeria
金沙萨,gn2314302,刚果,Kinshasa,jinshasa,jss,Congo
内罗毕,gn184742,肯尼亚,Nairobi,neiluobi,nlb,Kenya
达累斯萨拉姆,gn160263,坦桑尼亚,Dar es Salaam,daleisisalamu,dlsslm,Tanzania
约翰内斯堡,gn993800,南非,Johannesburg,yuehanneisibao,yhnsb,South Africa
开普敦,gn3369157,南非,Cape Town,kaipudun,kpd,South Africa
莫斯科,gn524901,俄罗斯,Moscow,mosike,msk,Russia
基辅,gn703448,乌克兰,Kiev,jifu,jf,United Kingdomraine
华沙,gn756135,波兰,Warsaw,huasha,hs,Poland
斯德哥尔摩,gn2673730,瑞典,Stockholm,sidegeermo,sdgem,Sweden
赫尔辛基,gn658225,芬兰,Helsinki,heerxinji,hexj,Finland
奥斯陆,gn3143244,挪威,Oslo,aosilu,asl,Norway
哥本哈根,gn2618425,丹麦,Copenhagen,gebenhagen,gbhg,Denmark
柏林,58439,德国,Berlin,bolin,bl,Germany
法兰克福,gn6553153,德国,Frankfurt,falankefu,flkf,Germany
汉堡,gn2911298,德国,Hamburg,hanbao,hb,Germany
阿姆斯特丹,gn2759794,荷兰,Amsterdam,amusitedan,amstd,Netherlands
